Timestamp,Container,CPU,Memory Usage
2024-07-01 12:23:53,docker_controller_1,0.41,26.21
2024-07-01 12:23:53,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:23:53,docker_postgres_1,0.07,35.89
2024-07-01 12:23:53,docker_cache_1,71.56,996.40
2024-07-01 12:24:05,docker_detector_1,755.82,1015.00
2024-07-01 12:24:05,docker_combiner_1,0.28,69.84
2024-07-01 12:24:05,docker_extractor_1,0.49,95.17
2024-07-01 12:24:05,docker_minion_1,0.19,26.45
2024-07-01 12:24:05,docker_controller_1,0.29,26.21
2024-07-01 12:24:05,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:24:05,docker_postgres_1,1.59,35.89
2024-07-01 12:24:05,docker_cache_1,33.55,979.10
2024-07-01 12:24:18,docker_detector_1,427.46,984.70
2024-07-01 12:24:18,docker_combiner_1,100.75,73.01
2024-07-01 12:24:18,docker_extractor_1,0.36,95.17
2024-07-01 12:24:18,docker_minion_1,0.17,26.46
2024-07-01 12:24:18,docker_controller_1,0.32,26.21
2024-07-01 12:24:18,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:24:18,docker_postgres_1,0.01,35.89
2024-07-01 12:24:18,docker_cache_1,1.72,986.40
2024-07-01 12:24:31,docker_detector_1,720.80,1.08
2024-07-01 12:24:31,docker_combiner_1,0.35,69.84
2024-07-01 12:24:31,docker_extractor_1,0.48,93.70
2024-07-01 12:24:31,docker_minion_1,0.23,26.46
2024-07-01 12:24:31,docker_controller_1,0.50,26.22
2024-07-01 12:24:31,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:24:31,docker_postgres_1,0.00,35.89
2024-07-01 12:24:31,docker_cache_1,69.47,1003.00
2024-07-01 12:24:43,docker_detector_1,714.48,1.07
2024-07-01 12:24:43,docker_combiner_1,0.35,69.84
2024-07-01 12:24:43,docker_extractor_1,0.53,93.70
2024-07-01 12:24:43,docker_minion_1,0.23,26.46
2024-07-01 12:24:43,docker_controller_1,0.51,26.22
2024-07-01 12:24:43,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:24:43,docker_postgres_1,0.02,35.89
2024-07-01 12:24:43,docker_cache_1,86.09,998.70
2024-07-01 12:24:56,docker_detector_1,795.23,1.04
2024-07-01 12:24:56,docker_combiner_1,0.34,69.85
2024-07-01 12:24:56,docker_extractor_1,0.43,91.29
2024-07-01 12:24:56,docker_minion_1,0.28,26.47
2024-07-01 12:24:56,docker_controller_1,0.51,26.21
2024-07-01 12:24:56,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:24:56,docker_postgres_1,0.02,35.89
2024-07-01 12:24:56,docker_cache_1,0.29,996.20
2024-07-01 12:25:09,docker_detector_1,576.33,1.05
2024-07-01 12:25:09,docker_combiner_1,0.25,69.85
2024-07-01 12:25:09,docker_extractor_1,0.41,91.29
2024-07-01 12:25:09,docker_minion_1,0.18,26.47
2024-07-01 12:25:09,docker_controller_1,0.34,26.21
2024-07-01 12:25:09,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:25:09,docker_postgres_1,0.00,35.90
2024-07-01 12:25:09,docker_cache_1,8.49,1001.00
2024-07-01 12:25:21,docker_detector_1,715.21,1021.00
