Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_detector_1,513.08%,1.15%,943MB / 951MB
shirine_combiner_1,0.25%,0.11%,952MB / 953MB
shirine_extractor_1,0.35%,0.17%,4.31MB / 952MB
shirine_detector_1,696.43%,1.17%,956MB / 964MB
shirine_combiner_1,0.23%,0.11%,968MB / 968MB
shirine_extractor_1,0.26%,0.17%,4.32MB / 965MB
shirine_detector_1,722.33%,1.16%,969MB / 977MB
shirine_combiner_1,0.24%,0.11%,979MB / 979MB
shirine_extractor_1,0.43%,0.17%,4.34MB / 981MB
shirine_detector_1,786.73%,1.19%,986MB / 993MB
shirine_combiner_1,0.25%,0.11%,995MB / 995MB
shirine_extractor_1,0.33%,0.17%,4.36MB / 992MB
shirine_detector_1,795.52%,1.17%,1GB / 1.01GB
shirine_combiner_1,0.28%,0.11%,1.01GB / 1.01GB
shirine_extractor_1,0.24%,0.17%,4.38MB / 1.01GB
shirine_detector_1,707.29%,1.21%,1.01GB / 1.02GB
shirine_combiner_1,0.22%,0.11%,1.02GB / 1.02GB
shirine_extractor_1,0.41%,0.17%,4.4MB / 1.02GB
shirine_detector_1,687.52%,1.19%,1.03GB / 1.04GB
shirine_combiner_1,10.42%,0.11%,1.04GB / 1.04GB
shirine_extractor_1,0.30%,0.17%,4.42MB / 1.04GB
shirine_detector_1,795.48%,1.27%,1.04GB / 1.05GB
shirine_combiner_1,10.72%,0.11%,1.14GB / 1.05GB
shirine_extractor_1,0.19%,0.15%,4.42MB / 1.04GB
shirine_detector_1,0.61%,1.37%,1.04GB / 1.05GB
shirine_combiner_1,99.21%,0.13%,1.83GB / 1.05GB
shirine_extractor_1,0.13%,0.15%,4.42MB / 1.04GB
shirine_detector_1,0.16%,1.37%,1.04GB / 1.05GB
shirine_combiner_1,0.10%,0.12%,2.1GB / 1.08GB
shirine_extractor_1,0.06%,0.15%,4.42MB / 1.04GB
shirine_detector_1,0.18%,1.37%,1.04GB / 1.05GB
shirine_combiner_1,0.09%,0.12%,2.1GB / 1.08GB
shirine_extractor_1,0.06%,0.15%,4.42MB / 1.04GB
shirine_detector_1,0.18%,1.37%,1.04GB / 1.05GB
shirine_combiner_1,0.00%,0.00%,0B / 0B
shirine_extractor_1,0.07%,0.15%,4.42MB / 1.04GB
shirine_detector_1,0.19%,1.37%,1.04GB / 1.05GB
