Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.23%,96.37MiB,4.43MB / 930MB
shirine_detector_1,131.66%,758.10MiB,936MB / 944MB
shirine_combiner_1,0.03%,51.40MiB,943MB / 827MB
shirine_extractor_1,0.21%,96.37MiB,4.44MB / 939MB
shirine_detector_1,306.19%,758.10MiB,941MB / 948MB
shirine_combiner_1,0.03%,51.40MiB,947MB / 831MB
shirine_extractor_1,0.21%,96.37MiB,4.45MB / 943MB
shirine_detector_1,397.91%,758.10MiB,949MB / 957MB
shirine_combiner_1,0.03%,51.40MiB,956MB / 838MB
shirine_extractor_1,0.22%,96.37MiB,4.46MB / 951MB
shirine_detector_1,383.20%,758.10MiB,953MB / 961MB
shirine_combiner_1,0.03%,51.40MiB,960MB / 841MB
shirine_extractor_1,0.18%,96.37MiB,4.46MB / 954MB
shirine_detector_1,308.97%,732.40MiB,956MB / 965MB
shirine_combiner_1,0.03%,51.40MiB,968MB / 848MB
shirine_extractor_1,0.22%,96.37MiB,4.47MB / 961MB
shirine_detector_1,398.63%,732.40MiB,963MB / 972MB
shirine_combiner_1,0.03%,51.40MiB,971MB / 851MB
shirine_extractor_1,0.18%,96.37MiB,4.48MB / 965MB
shirine_detector_1,399.23%,758.10MiB,967MB / 976MB
shirine_combiner_1,0.03%,51.40MiB,978MB / 857MB
shirine_extractor_1,0.19%,96.37MiB,4.49MB / 972MB
shirine_detector_1,308.14%,725.98MiB,974MB / 983MB
shirine_combiner_1,0.03%,51.40MiB,981MB / 860MB
shirine_extractor_1,0.19%,96.37MiB,4.49MB / 975MB
shirine_detector_1,399.73%,725.98MiB,977MB / 986MB
shirine_combiner_1,0.03%,51.40MiB,989MB / 866MB
shirine_extractor_1,0.21%,96.37MiB,4.5MB / 979MB
shirine_detector_1,269.04%,725.98MiB,984MB / 994MB
shirine_combiner_1,0.02%,51.40MiB,993MB / 869MB
shirine_extractor_1,0.19%,96.37MiB,4.51MB / 986MB
shirine_detector_1,332.59%,725.98MiB,988MB / 997MB
shirine_combiner_1,0.03%,51.40MiB,996MB / 872MB
shirine_extractor_1,0.19%,96.37MiB,4.51MB / 989MB
shirine_detector_1,175.56%,725.98MiB,994MB / 1GB
shirine_combiner_1,0.03%,51.40MiB,1GB / 878MB
shirine_extractor_1,0.20%,96.37MiB,4.52MB / 996MB
shirine_detector_1,394.30%,725.98MiB,998MB / 1.01GB
shirine_combiner_1,0.03%,51.40MiB,1.01GB / 883MB
shirine_extractor_1,0.20%,96.37MiB,4.52MB / 999MB
shirine_detector_1,109.03%,725.98MiB,1GB / 1.01GB
shirine_combiner_1,0.03%,57.82MiB,1.01GB / 886MB
shirine_extractor_1,0.21%,96.37MiB,4.53MB / 1.01GB
shirine_detector_1,400.50%,725.98MiB,1.01GB / 1.02GB
shirine_combiner_1,0.03%,57.82MiB,1.02GB / 892MB
shirine_extractor_1,0.20%,96.37MiB,4.53MB / 1.01GB
shirine_detector_1,308.49%,725.98MiB,1.01GB / 1.02GB
shirine_combiner_1,0.02%,57.82MiB,1.02GB / 894MB
shirine_extractor_1,0.18%,96.37MiB,4.55MB / 1.02GB
shirine_detector_1,295.85%,828.77MiB,1.02GB / 1.03GB
shirine_combiner_1,0.03%,57.82MiB,1.03GB / 900MB
shirine_extractor_1,0.21%,96.37MiB,4.55MB / 1.02GB
shirine_detector_1,395.70%,758.10MiB,1.03GB / 1.04GB
shirine_combiner_1,0.03%,57.82MiB,1.03GB / 905MB
shirine_extractor_1,0.21%,96.37MiB,4.56MB / 1.03GB
shirine_detector_1,291.24%,758.10MiB,1.03GB / 1.04GB
shirine_combiner_1,0.02%,57.82MiB,1.04GB / 908MB
shirine_extractor_1,0.21%,96.37MiB,4.56MB / 1.03GB
shirine_detector_1,313.17%,758.10MiB,1.03GB / 1.04GB
shirine_combiner_1,0.03%,57.82MiB,1.04GB / 913MB
shirine_extractor_1,0.20%,96.37MiB,4.57MB / 1.04GB
